Agency,Holding_Co,Agency_Service
72andSunny,72andsunny Partners LLC,Advertising
Accenture Interactive,Accenture Public Limited Company,Digital
ADK,ADK,Advertising
Airwave,Omnicom Group Inc.,Digital
AKQA,WPP PLC,Digital
Arc,Publicis Groupe Holdings B.V.,Brand Agency
BBDO,Omnicom Group Inc.,Advertising
BBH,Publicis Groupe Holdings B.V.,Advertising
BEING,Omnicom Group Inc.,Advertising
Blue Focus,Blue Focus,Public Relations
Burson-Marsteller,WPP PLC,Public Relations
Campbell Ewald,The Interpublic Group of Companies Inc,Advertising
Carat,Dentsu Aegis Network Australia Holdings Pty Ltd,Advertising
Carmichael Lynch,The Interpublic Group of Companies Inc,Advertising
Cheil,Samsung,Advertising
Cohn & Wolfe,WPP PLC,Public Relations
Critical Mass,Omnicom Group Inc.,Design
Daiko,Hakuhodo Incorporated,Advertising
DAS,Omnicom Group Inc.,Public Relations
DDB,Omnicom Emea Holdings Ltd.,Advertising
Dentsu,Dentsu Inc,Public Relations
Design Bridge,WPP PLC,Design
Digitas,Publicis Groupe S.A.,Digital
Eleven PR,Omnicom Group Inc.,Public Relations
Epsilon,ALLIANCE DATA SYSTEMS CORPORATION,Digital
Essence,WPP PLC,Advertising
FCB,The Interpublic Group of Companies Inc,Advertising
Fitch,WPP PLC,Brand Agency
Frontage,Dentsu Aegis Network Australia Holdings Pty Ltd,Design
Geometry Global,WPP PLC,Brand Agency
Goodby Silverstein & Partners,Omnicom Group Inc.,Advertising
Grey,WPP PLC,Advertising
GroupM,WPP Holdings (Australia) Pty Limited,Advertising
GSD&M,Omnicom Group Inc.,Advertising
GTB,WPP PLC,Advertising
Gyro,Dentsu Aegis Network Australia Holdings Pty Ltd,Advertising
Hakuhodo,Hakuhodo Incorporated,Public Relations
Havas,Havas,Advertising
Hill & Knowlton,WPP PLC,Public Relations
Horizon,"Horizon Media, Inc.",Advertising
Integer,Omnicom Group Inc.,Advertising
IPG,The Interpublic Group of Companies Inc,Advertising
Isobar,Dentsu Aegis Network Australia Holdings Pty Ltd,Digital
J. Walter Thompson,WPP PLC,Advertising
Jack Morton Worldwide,The Interpublic Group of Companies Inc,Brand Agency
Kantar,WPP PLC,Consumer Marketing
Ketchum,Omnicom Group Inc.,Public Relations
Landor Associates,WPP PLC,Brand Agency
Leo Burnett,Publicis Groupe Holdings B.V.,Advertising
MAGNA,The Interpublic Group of Companies Inc,Advertising
McGarryBowen,Dentsu Aegis Network Australia Holdings Pty Ltd,Advertising
MCI,Omnicom Group Inc.,Digital
MDC,Mdc Partners Inc,Advertising
MEC,WPP PLC,Advertising
Mediabrands,The Interpublic Group of Companies Inc,Advertising
MediaCom,WPP PLC,Advertising
MediaVest,STARCOM WORLDWIDE INC,Advertising
Mercer Bell,Publicis Groupe Holdings B.V.,Advertising
Merkle,Dentsu Aegis Network Australia Holdings Pty Ltd,Advertising
MindShare,Mindshare Advertising Llc,Advertising
Momentum Worldwide,The Interpublic Group of Companies Inc,Advertising
MSL,Publicis Groupe Holdings B.V.,Public Relations
MullenLowe,The Interpublic Group of Companies Inc,Advertising
Octagon,The Interpublic Group of Companies Inc,Advertising
Ogilvy,WPP PLC,Advertising
OMD,Omnicom Group Inc.,Advertising
Omnicom,Omnicom Group Inc.,Advertising
Performics,Publicis Groupe Holdings B.V.,Advertising
Porter Novelli,Omnicom Group Inc.,Public Relations
Prodigious,Publicis Groupe Holdings B.V.,Brand Agency
Publicis,Publicis Groupe Holdings B.V.,Public Relations
RAPP,Omnicom Group Inc.,Advertising
Rapport,The Interpublic Group of Companies Inc,Advertising
Razorfish,Publicis Groupe Holdings B.V.,Digital
Richards Group,THE RICHARDS GROUP,Advertising
Rokkan,Publicis Groupe Holdings B.V.,Advertising
Saatchi & Saatchi,Publicis Groupe Holdings B.V.,Advertising
Shift,Omnicom Group Inc.,Digital
Smollan,WPP PLC,Brand Agency
Starcom,STARCOM WORLDWIDE INC,Advertising
Superunion,WPP PLC,Brand Agency
Tag,Omnicom Group Inc.,Advertising
TBWA,Omnicom Group Inc.,Advertising
The Martin Agency,The Interpublic Group of Companies Inc,Advertising
Tribal Worldwide,Omnicom Group Inc.,Advertising
UM,The Interpublic Group of Companies Inc,Advertising
VML,WPP PLC,Advertising
Wavemaker,WPP PLC,Advertising
Weber Shandwick,The Interpublic Group of Companies Inc,Public Relations
Wieden & Kennedy,Wieden & Kennedy Coöperatief U.A.,Advertising
WPP,WPP PLC,Advertising
Wunderman,WPP PLC,Digital
Young & Rubicam,WPP PLC,Advertising
ZenithOptimedia,Publicis Groupe Holdings B.V.,Advertising
Zimmerman,ZIMMERMAN,Public Relations
